"Date","Price","Open","High","Low","Vol.","Change %"
"24/01/2023","501.28","498.82","505.55","492.60","33.62M","-0.33%"
"23/01/2023","502.96","505.04","507.06","497.08","35.98M","-0.40%"
"20/01/2023","504.97","494.35","504.97","489.39","37.28M","2.17%"
"19/01/2023","494.24","497.06","499.23","488.30","44.28M","-0.72%"
"18/01/2023","497.80","506.89","520.90","497.47","51.65M","-1.36%"
"17/01/2023","504.66","512.01","516.84","502.82","41.01M","-1.41%"
"13/01/2023","511.87","507.85","513.26","504.91","38.79M","0.57%"
"12/01/2023","508.95","507.32","510.80","499.09","56.36M","0.93%"
"11/01/2023","504.24","498.52","504.31","495.63","46.82M","1.61%"
"10/01/2023","496.26","475.65","497.01","475.42","43.07M","5.02%"
"09/01/2023","472.56","477.00","484.52","472.53","44.47M","0.00%"
"06/01/2023","472.54","458.41","477.09","458.41","47.94M","4.80%"
"05/01/2023","450.91","445.93","455.29","439.49","38.75M","1.13%"
"04/01/2023","445.87","432.56","448.03","432.50","40.00M","3.05%"
"03/01/2023","432.69","435.23","443.37","429.79","35.65M","-0.46%"
"30/12/2022","434.67","438.79","438.79","430.55","24.86M","-1.10%"
"29/12/2022","439.49","436.58","441.65","436.58","29.29M","0.76%"
"28/12/2022","436.17","448.07","448.11","434.65","29.83M","-2.64%"
"27/12/2022","448.00","443.36","452.35","443.36","27.93M","1.22%"
"23/12/2022","442.58","442.44","444.89","438.70","29.15M","0.31%"
"22/12/2022","441.20","445.91","445.91","429.96","55.55M","-0.83%"
"21/12/2022","444.91","438.44","447.26","437.62","69.56M","2.26%"
"20/12/2022","435.09","430.31","440.74","430.31","36.97M","1.58%"
"19/12/2022","428.33","436.72","440.12","425.40","34.12M","-1.75%"
"16/12/2022","435.97","434.60","440.16","428.05","101.50M","0.30%"
"15/12/2022","434.67","457.77","457.77","431.64","45.87M","-5.17%"
"14/12/2022","458.35","460.55","462.47","452.23","37.13M","-0.66%"
"13/12/2022","461.41","469.25","476.87","458.46","44.81M","0.80%"
"12/12/2022","457.75","453.31","458.14","445.84","31.93M","0.91%"
"09/12/2022","453.63","467.50","470.40","453.33","33.41M","-2.91%"
"08/12/2022","467.21","468.63","472.10","465.06","35.85M","1.82%"
"07/12/2022","458.84","460.77","468.77","458.33","39.16M","-0.93%"
"06/12/2022","463.15","460.88","468.18","458.82","44.15M","0.63%"
"05/12/2022","460.24","473.89","476.75","458.86","42.33M","-3.00%"
"02/12/2022","474.48","461.05","474.80","455.81","45.91M","2.43%"
"01/12/2022","463.23","464.01","467.62","458.33","40.15M","-0.15%"
"30/11/2022","463.91","453.48","463.91","446.41","57.93M","3.47%"
"29/11/2022","448.34","445.95","453.66","445.95","29.39M","1.47%"
"28/11/2022","441.83","448.87","450.08","440.15","41.18M","-1.94%"
"25/11/2022","450.55","454.84","457.31","449.35","17.28M","-1.09%"
"23/11/2022","455.50","453.91","457.52","451.44","29.69M","-0.58%"
"22/11/2022","458.18","444.46","458.96","444.46","48.65M","3.62%"
"21/11/2022","442.18","431.89","443.61","427.56","44.30M","1.75%"
"18/11/2022","434.57","436.03","438.77","427.21","31.57M","-0.25%"
"17/11/2022","435.65","431.95","435.99","423.04","39.83M","-0.96%"
"16/11/2022","439.86","443.21","443.21","435.84","41.07M","-1.38%"
"15/11/2022","446.03","443.23","451.13","442.54","46.77M","0.68%"
"14/11/2022","443.01","434.42","450.05","433.65","48.70M","1.56%"
"11/11/2022","436.21","436.61","452.13","434.18","78.42M","1.75%"
"10/11/2022","428.70","416.04","429.42","416.04","55.06M","6.45%"
"09/11/2022","402.73","417.86","419.67","400.64","38.79M","-3.86%"
"08/11/2022","418.89","413.91","425.63","410.71","50.33M","1.87%"
"07/11/2022","411.21","413.02","416.29","407.67","42.05M","-0.31%"
"04/11/2022","412.50","393.59","419.92","393.59","76.68M","7.23%"
"03/11/2022","384.69","378.69","388.10","377.39","44.69M","0.36%"
"02/11/2022","383.31","400.58","404.56","383.12","67.13M","-5.19%"
"01/11/2022","404.28","397.70","410.08","397.70","50.71M","2.90%"
"31/10/2022","392.88","394.30","400.44","391.72","50.94M","-1.20%"
"28/10/2022","397.67","401.18","404.54","392.11","58.47M","-1.82%"
"27/10/2022","405.06","409.54","410.69","401.74","55.43M","-1.37%"
"26/10/2022","410.67","402.53","417.66","402.29","56.59M","2.54%"
"25/10/2022","400.51","391.26","401.81","386.93","78.32M","1.21%"
"24/10/2022","395.73","395.28","399.44","390.46","60.57M","-1.26%"
"21/10/2022","400.77","371.67","401.64","371.67","80.13M","8.04%"
"20/10/2022","370.94","360.65","382.86","355.47","97.69M","2.71%"
"19/10/2022","361.14","366.94","369.53","359.63","41.33M","-1.65%"
"18/10/2022","367.21","369.28","373.78","361.08","45.35M","0.73%"
"17/10/2022","364.55","362.40","370.45","362.40","43.27M","3.18%"
"14/10/2022","353.33","371.76","372.23","352.25","44.30M","-4.75%"
"13/10/2022","370.94","357.94","374.34","347.01","54.94M","2.76%"
"12/10/2022","360.97","361.61","363.73","353.15","57.41M","-0.27%"
"11/10/2022","361.94","360.21","369.15","354.95","44.95M","0.09%"
"10/10/2022","361.61","357.64","365.84","357.64","41.93M","2.09%"
"07/10/2022","354.21","362.08","362.08","351.99","43.98M","-2.36%"
"06/10/2022","362.76","365.95","368.96","361.37","50.94M","-1.54%"
"05/10/2022","368.45","370.14","371.11","360.30","49.48M","-0.82%"
"04/10/2022","371.49","358.02","371.91","358.02","60.65M","4.75%"
"03/10/2022","354.65","332.97","356.39","332.97","68.69M","7.04%"
"30/09/2022","331.33","334.76","341.33","330.69","49.33M","-1.18%"
"29/09/2022","335.27","336.17","338.55","327.11","54.05M","-0.65%"
"28/09/2022","337.48","328.43","339.05","326.23","54.18M","2.55%"
"27/09/2022","329.08","324.65","332.90","324.21","57.06M","1.79%"
"26/09/2022","323.28","327.49","332.27","321.71","56.09M","-1.39%"
"23/09/2022","327.84","335.51","335.51","321.71","74.40M","-4.36%"
"22/09/2022","342.77","347.26","353.45","341.75","56.10M","-0.88%"
"21/09/2022","345.80","360.73","363.67","345.67","60.88M","-3.73%"
"20/09/2022","359.21","367.18","367.18","355.99","48.55M","-2.77%"
"19/09/2022","369.46","357.52","370.80","351.94","56.00M","2.86%"
"16/09/2022","359.20","362.76","362.76","353.88","96.64M","-1.11%"
